CMPD_CHEMBLID,exp,smiles
CHEMBL14042,7.15,Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl
CHEMBL432162,3.888,Cc1nc(C)c2CCC(=O)N(Cc3ccc(cc3)c4ccccc4c5nn[nH]n5)c2n1
CHEMBL306457,3.1,NC(=O)C(C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c2cnc3ccccc3n2)C4(O)CCCCC4
CHEMBL55115,0.04,OC(CN(Cc1ccccc1)C(=O)N2CCOCC2)CN(Cc3ccccc3)C(=O)N4CCOCC4
CHEMBL14658,7.55,Clc1cc(cc(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2
CHEMBL66457,1.9,CC(C)(O)CC[C@H](C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c2cnc3ccccc3n2)C(=O)N
CHEMBL304053,2,CC(C)(O)CCC(C[C@H](O)[C@H](Cc1ccccc1F)NC(=O)c2cnc3ccccc3n2)C(=O)N
CHEMBL65547,1.45,CN(C)CCc1c[nH]c2cccc(O)c12
CHEMBL41092,3.39,Cc1cc(O)c2C(=O)c3c(O)cccc3C(=O)c2c1
CHEMBL68366,3.4,CC(C)(F)CC[C@H](C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c2cnc3ccccc3n2)C(=O)N
CHEMBL517712,1.76,CN1[C@@H]2CC[C@H]1C[C@H](C2)OC(=O)C(CO)c3ccccc3
CHEMBL69876,1.8,NC(=O)C(C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c2cnc3ccccc3n2)C4CCOCC4
CHEMBL273933,6.09,Clc1ccc(Cl)c(c1)c2cc(Cl)ccc2Cl
CHEMBL14774,8.26,Clc1c(Cl)c(Cl)c(c(Cl)c1Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl
CHEMBL138635,-0.6,CC(=O)[C@H]1CCCN1C(=O)c2cccc(c2)C(=O)N3CCC[C@H]3C(=O)N4CCC[C@@H]4C#N
CHEMBL416526,1.19,CN(C)CCc1c[nH]c2ccc(O)cc12
CHEMBL14127,5.81,Clc1cc(Cl)c(cc1Cl)c2ccccc2
CHEMBL275246,6.52,Clc1c(Cl)c(Cl)c(c(Cl)c1Cl)c2ccccc2
CHEMBL412262,4.8,CN\\C(=N/S(=O)(=O)c1ccc(Cl)cc1)\\N2C[C@@H](C(=N2)c3ccc(Cl)cc3)c4ccccc4
CHEMBL174867,1.84,C=CCN(CCCN(CC=C)CC=C)CC=C
CHEMBL174826,3.1,CC1(C)CC(CC(C)(C)N1)NCCO
CHEMBL40275,2.62,OCc1cc(O)c2C(=O)c3c(O)cccc3C(=O)c2c1
CHEMBL42624,3.65,COc1cc(O)c2C(=O)c3c(O)cc(C)cc3C(=O)c2c1
CHEMBL14295,5.58,Clc1ccc(cc1)c2ccc(Cl)cc2
CHEMBL182,-3,Nc1nc(O)c2ncn(COC(CO)CO)c2n1
CHEMBL182,-2.07,Nc1nc(O)c2ncn(COC(CO)CO)c2n1
